,time,open,high,low,close,volume,ticker,action,action_converted,confidence,shares_held,ep_net
493,12/21/2021,46.15,46.67,45.63,45.63,12291900,SSI,-1.3727483749389648,SELL_50,0.3823838531970978,1,1122224.8243800038
494,12/22/2021,45.63,45.89,44.15,44.41,22770800,SSI,-1.124276041984558,SELL_50,0.3985786736011505,1,1122223.004380004
495,12/23/2021,44.15,44.24,41.72,42.59,26281600,SSI,-1.2882273197174072,SELL_50,0.3905138075351715,1,1122223.0443800038
496,12/24/2021,42.76,43.41,42.07,42.63,8847400,SSI,-2.015888214111328,SELL_50,0.2578407824039459,1,1122223.134380004
497,12/27/2021,43.41,43.41,42.59,42.72,6529300,SSI,0.011794686317443848,HOLD,0.21944306790828705,13135,1117721.5499000042
498,12/28/2021,42.85,43.07,42.42,42.42,9860100,SSI,-1.7816991806030273,SELL_50,0.30942273139953613,6568,1122237.617760004
499,12/29/2021,42.5,43.81,41.81,43.15,9809600,SSI,-1.220725417137146,SELL_50,0.39486438035964966,3284,1130535.793160004
500,12/30/2021,43.63,45.89,43.54,45.72,16605600,SSI,-0.7090383768081665,SELL_50,0.3724450469017029,1642,1129311.3209200043
501,12/31/2021,45.98,46.07,44.85,45.02,9609300,SSI,-1.04141366481781,SELL_50,0.39863383769989014,821,1130136.4095000043
502,1/4/2022,45.63,46.41,45.11,46.07,16445000,SSI,-0.7849783897399902,SELL_50,0.3818207085132599,411,1130043.5408000043
503,1/5/2022,46.07,46.85,45.63,45.89,15701400,SSI,-1.383068323135376,SELL_50,0.38119369745254517,206,1129873.453350004
504,1/6/2022,45.54,46.07,45.11,45.11,13248000,SSI,0.1025611162185669,BUY_20,0.19791674613952637,12626,1126030.427150004
505,1/7/2022,44.94,45.63,44.5,44.85,13974400,SSI,-0.9656752347946167,SELL_50,0.39680618047714233,6313,1114510.1491000042
506,1/10/2022,44.85,45.2,43.07,43.07,17471200,SSI,-1.4027464389801025,SELL_50,0.37839680910110474,3157,1110396.400180004
507,1/11/2022,43.2,43.98,41.72,41.81,15601500,SSI,0.3625744581222534,BUY_30,0.14096640050411224,14857,1140809.7831800042
508,1/12/2022,42.15,43.89,41.81,43.89,15464300,SSI,1.2067909240722656,BUY_50,0.03022123873233795,20424,1111359.1275500043
509,1/13/2022,44.33,44.41,42.46,42.46,11392500,SSI,-0.615994930267334,SELL_50,0.3666406571865082,10212,1109597.9660300042
510,1/14/2022,42.11,42.98,41.98,42.33,6678400,SSI,-1.542741060256958,SELL_50,0.35734105110168457,5106,1094268.0690500042
